Policy Number,Age,Years of Driving Experience,Number of Vehicles,Gender,Married,Vehicle Age,Losses,Fuel_type_D,Income
147805,25,8,1,0,Single,5,3500,1,174613
122992,50,32,1,1,Single,15,3462.340629,1,172645.0315
143824,20,1,2,0,Single,3,3462,1,172830
174360,16,0,3,0,Single,4,3333,1,166165
110488,35,15,1,0,Single,9,3332.771801,1,166072.5901
190621,16,0,1,0,Single,15,3250,1,162190
180426,25,7,4,0,Single,1,3227,1,160978
111434,64,45,1,1,Single,13,3226.612176,1,161066.6088
164185,25,6,1,1,Single,8,2879.176458,1,143459.8229
142085,25,7,1,1,Married,11,2879.067137,1,143703.3569
160115,25,8,2,0,Single,3,2879,1,143693
161339,22,4,2,0,Single,5,2879,1,143506
152551,52,34,1,0,Married,5,2852.18873,1,142146.4365
157767,18,0,2,0,Single,2,2852,1,142211
161675,66,48,1,0,Single,10,2850,1,142080
191297,38,20,1,1,Married,3,2814.312522,1,140428.6261
156601,19,2,2,0,Single,0,2814,1,140491
122473,21,4,1,0,Single,0,2700,1,134575
104242,25,8,1,0,Single,5,2600,1,129416
188783,25,7,2,0,Single,0,2535,1,126434
165974,63,43,1,1,Single,10,2534.63946,1,126216.973
115780,23,5,2,0,Single,4,1953.606442,1,97452.3221
112744,22,4,2,0,Single,1,1883.373932,1,93577.6966
145380,21,4,2,0,Single,3,1850.996,1,92212.8
103525,20,3,4,0,Single,0,1848.845387,1,92235.26935
183049,17,0,3,0,Single,2,1802.444618,1,89739.2309
115456,17,0,4,0,Single,1,1776.525239,1,88500.26195
180372,18,0,1,0,Single,0,1772.78492,1,88276.246
103212,22,4,2,0,Single,1,1747.297619,1,87071.88095
190827,22,4,2,0,Single,1,1736.287451,1,86583.37255
105766,21,3,4,0,Single,1,1731.433041,1,86171.65205
135228,19,2,1,0,Single,5,1730.684951,1,86100.24755
184028,19,0,4,0,Single,1,1710.178261,1,85076.91305
108912,18,1,3,0,Single,1,1709.307889,1,85140.39445
130887,17,0,2,0,Single,0,1679.147211,1,83524.36055
115039,21,3,2,0,Single,1,1667.136998,1,82990.8499
168998,21,3,4,0,Single,2,1662.706358,1,82764.3179
177042,20,1,2,1,Single,0,1654.71703,1,82511.8515
193787,22,4,2,0,Single,2,1641.515906,1,81594.7953
118625,24,6,4,0,Single,5,1621.306259,1,80593.31295
131902,22,4,1,0,Single,5,1620.536634,1,80506.8317
164526,19,1,4,0,Single,1,1619.073617,1,80376.68085
118298,17,0,3,0,Single,5,1610.185929,1,80309.29645
126147,21,4,4,0,Single,5,1594.377501,1,79134.87505
155387,17,0,2,0,Married,2,1590.157527,1,79251.87635
187352,19,2,4,0,Single,2,1586.970936,1,78929.5468
133730,23,6,3,0,Single,5,1582.314185,1,78796.70925
176085,18,1,1,0,Single,1,1570.197729,1,78114.88645
147118,17,0,4,0,Single,2,1555.951395,1,77430.56975
159096,23,4,2,0,Single,5,1555.438202,1,77456.9101
149211,18,1,2,0,Single,3,1555.052888,1,77212.6444
128925,20,1,4,1,Single,3,1549.236462,1,77119.8231
120120,17,0,3,0,Married,0,1530.056899,1,76051.84495
175730,20,2,2,0,Single,4,1523.041103,1,75700.05515
188722,22,3,2,1,Single,4,1511.71037,1,75048.5185
186031,16,0,3,0,Married,1,1501.75855,1,74634.9275
157151,17,0,2,1,Single,1,1498.958037,1,74479.90185
109203,24,7,1,0,Single,0,1491.634513,1,74237.72565
118210,24,5,3,1,Single,4,1490.804835,1,74013.24175
132773,17,0,2,0,Single,0,1486.388076,1,73993.4038
185503,20,1,3,1,Single,0,1485.928765,1,73846.43825
177241,22,4,3,0,Single,3,1481.705551,1,73581.27755
162984,18,0,2,0,Single,3,1481.046017,1,73690.30085
139476,16,0,3,0,Married,3,1479.831034,1,73790.5517
128571,22,3,4,0,Single,13,1473.7403,1,73201.015
197370,18,0,4,0,Single,8,1440.526634,1,71747.3317
108978,23,4,3,0,Single,2,1435.870915,1,71410.54575
139687,21,4,2,1,Single,5,1428.120323,1,71021.01615
182122,21,4,2,0,Single,7,1424.841406,1,70953.0703
106191,17,0,1,0,Married,1,1401.284803,1,69515.24015
139807,24,5,2,0,Single,12,1397.488209,1,69361.41045
103107,22,4,2,0,Single,2,1394.085068,1,69128.2534
189951,17,0,3,0,Single,10,1380.980203,1,68756.01015
196688,25,7,1,0,Single,2,1380.915346,1,68583.7673
177159,16,0,3,0,Single,15,1377.539259,1,68326.96295
175402,20,1,2,0,Single,0,1370.142171,1,68225.10855
167635,25,7,4,0,Single,2,1368.54557,1,68141.2785
147525,22,4,3,0,Single,8,1363.388951,1,67953.44755
160461,17,0,4,0,Single,4,1362.991866,1,67818.5933
187753,24,6,3,1,Single,0,1362.170278,1,67699.5139
139500,22,3,1,0,Single,7,1359.573132,1,67476.6566
108695,25,8,3,1,Single,1,1355.412924,1,67404.6462
195256,18,0,1,0,Single,2,1355.15476,1,67333.738
190271,17,0,3,0,Single,15,1350.971873,1,67217.59365
128195,18,0,4,0,Single,13,1350.647537,1,67129.37685
116510,16,0,2,0,Single,2,1345.610516,1,66992.5258
163674,24,5,3,0,Single,7,1341.042514,1,66676.1257
158125,23,4,1,0,Single,0,1340.946549,1,66454.32745
143467,16,0,3,0,Single,1,1326.426656,1,66036.3328
123118,17,0,2,0,Single,8,1322.743329,1,65807.16645
193871,17,0,2,1,Single,3,1319.454126,1,65434.7063
177340,20,3,3,0,Single,9,1318.990738,1,65680.5369
161198,17,0,4,0,Single,9,1317.92769,1,65328.3845
136812,18,0,4,1,Single,1,1314.475359,1,65352.76795
105488,25,6,2,0,Single,1,1313.38813,1,65137.4065
200454,21,3,3,0,Single,8,1308.787234,1,65122.3617
129585,21,4,3,0,Single,1,1305.985998,1,64807.2999
190111,18,0,4,0,Single,2,1301.428122,1,64635.4061
184731,18,1,3,0,Single,0,1299.059765,1,64632.98825
174530,21,3,4,0,Married,2,1297.739892,1,64594.9946
118982,25,8,2,0,Single,8,1297.152399,1,64601.61995
188582,25,6,3,1,Single,0,1296.990069,1,64316.50345
160407,20,2,3,0,Single,11,1296.816028,1,64619.8014
109682,20,2,3,0,Single,7,1291.362186,1,64036.1093
193169,22,3,2,0,Single,13,1291.352892,1,64109.6446
161542,22,3,4,0,Single,2,1289.983352,1,64073.1676
107664,23,4,3,1,Single,3,1288.521549,1,64195.07745
164774,19,2,3,0,Single,9,1287.277428,1,63876.8714
177869,20,1,2,0,Single,10,1286.089237,1,64038.46185
160806,18,1,2,0,Single,1,1283.713451,1,63901.67255
175815,20,1,2,1,Single,0,1281.070759,1,63663.53795
123734,17,0,4,0,Single,10,1280.495256,1,63469.7628
184927,16,0,1,0,Single,11,1278.510959,1,63654.54795
106867,20,1,2,0,Single,12,1270.186638,1,63135.3319
156461,22,5,3,0,Single,1,1269.443421,1,63093.17105
141554,18,0,3,0,Single,15,1268.076011,1,63014.80055
161657,23,6,3,0,Married,0,1267.597166,1,62880.8583
162998,23,4,3,0,Single,9,1265.998313,1,62708.91565
168352,25,7,1,0,Single,12,1265.254483,1,62992.72415
187221,19,1,3,0,Single,4,1262.926707,1,62625.33535
191874,21,2,4,1,Single,3,1262.024405,1,62834.22025
173522,24,7,3,0,Single,15,1261.179325,1,62605.96625
163643,17,0,4,0,Single,15,1260.120154,1,62760.0077
194934,17,0,1,0,Single,10,1255.767314,1,62526.3657
161998,23,5,3,0,Married,0,1250.233231,1,61936.66155
119043,16,0,2,0,Single,4,1248.405899,1,61861.29495
147925,17,0,3,0,Single,8,1243.405151,1,61634.25755
162334,17,0,3,0,Single,12,1243.266651,1,61725.33255
183420,17,0,3,0,Single,6,1242.883674,1,61776.1837
155784,20,1,2,0,Single,7,1240.961967,1,61570.09835
184822,22,5,3,0,Single,7,1239.894273,1,61478.71365
124724,21,4,1,0,Single,13,1239.79541,1,61689.7705
109426,21,2,2,0,Single,15,1238.855434,1,61646.7717
101504,25,7,2,0,Single,12,1237.946994,1,61571.3497
164615,18,0,2,0,Single,14,1231.570261,1,61172.51305
151334,20,3,3,0,Single,8,1231.095742,1,61219.7871
141795,16,0,2,0,Single,7,1229.29243,1,60971.6215
178037,16,0,2,0,Single,6,1227.567261,1,60926.36305
110012,18,0,2,0,Single,0,1226.265111,1,61110.25555
113843,17,0,3,0,Single,10,1226.233875,1,60962.69375
127761,16,0,2,0,Married,0,1225.158785,1,60940.93925
163552,18,1,3,0,Married,2,1223.990411,1,60636.52055
135122,25,6,2,0,Single,2,1223.159682,1,60874.9841
186574,23,5,3,0,Single,8,1218.356458,1,60461.8229
122102,22,4,3,0,Single,6,1216.554442,1,60345.7221
101915,20,2,2,0,Single,4,1208.851512,1,60007.5756
131374,25,7,1,0,Married,3,1208.666417,1,59959.32085
158244,20,3,2,0,Single,0,1207.301401,1,60016.07005
166321,19,2,2,0,Single,12,1207.007954,1,60023.3977
104939,18,0,3,0,Single,2,1204.833206,1,59769.6603
177507,18,0,1,0,Married,4,1204.444856,1,59623.2428
113103,25,6,2,0,Single,0,1204.281553,1,59814.07765
163906,23,5,3,0,Single,14,1204.097279,1,59784.86395
149340,19,2,1,0,Single,10,1203.938094,1,59782.9047
101726,20,1,2,1,Single,4,1201.951572,1,59556.5786
105328,18,0,4,0,Single,13,1201.320791,1,59746.03955
122908,25,8,2,0,Single,11,1200.47256,1,59822.628
191540,25,7,1,0,Married,1,1199.944535,1,59425.22675
112619,17,0,1,0,Single,8,1197.444316,1,59628.2158
119061,20,2,2,0,Single,0,1196.529346,1,59329.4673
146826,19,1,3,0,Married,5,1195.283536,1,59394.1768
125169,23,4,2,0,Single,11,1194.817985,1,59519.89925
186532,22,3,2,0,Married,1,1193.282553,1,59186.12765
184808,23,4,2,0,Single,7,1191.530812,1,59324.5406
141504,24,6,2,1,Single,0,1191.211171,1,59067.55855
157407,18,0,2,0,Single,10,1189.577654,1,59058.8827
103007,25,7,1,0,Single,13,1189.051543,1,58865.57715
142018,25,7,3,0,Single,12,1188.744129,1,58971.20645
155825,18,0,2,0,Single,6,1186.401052,1,58977.0526
105595,20,2,2,0,Married,0,1182.802099,1,58933.10495
