RecID,AuctionCurrency,AuctionDate,AuctionID,Indicator-Day-Afternoon,Auction Title,Auction House,AuctionLocation,lot LotNo,artwork ID,Artwork Title,ArtworkCategory,Artist_Full_Name,lot_EstimateHigh,lot_EstimateLow,Sale Price,Lot Status
288822,,,,,,,,3166,,,,,191810000,137080000,207017950,
numeric,character,character,numeric,character,character,character,character,numeric,numeric,character,factor,character,numeric,numeric,numeric,factor
recid,auccur,aucdate,aucid,idafn,auctitle,auchouse,aucloc,lotno,awid,awtitle,awcat,arname,lotesthigh,lotestlow,saleprice,lotstatus
2547,GBP,3/7/2018,22,Contemporary Art Evening Auction,Contemporary Art Evening Auction,Sotheby's,London,1.00,6998013,Untitled,PAINTINGS,Christopher Wool,"600,000","400,000","729,000",Sold
2548,GBP,3/7/2018,22,Contemporary Art Evening Auction,Contemporary Art Evening Auction,Sotheby's,London,10.00,6998014,Angel Of The North,SCULPTURE,Antony Gormley,"2,000,000","1,500,000","2,860,600",Sold
2549,GBP,3/7/2018,22,Contemporary Art Evening Auction,Contemporary Art Evening Auction,Sotheby's,London,11.00,6998015,Some People (Welcome Series),PAINTINGS,Hurvin Anderson,"800,000","600,000","1,029,000",Sold
2550,GBP,3/7/2018,22,Contemporary Art Evening Auction,Contemporary Art Evening Auction,Sotheby's,London,12.00,6998016,The Architect's Home In The Ravine,PAINTINGS,Peter Doig,"18,000,000","14,000,000","14,376,400",Sold
2551,GBP,3/7/2018,22,Contemporary Art Evening Auction,Contemporary Art Evening Auction,Sotheby's,London,13.00,6998017,A Swan Comforting A Snake,PAINTINGS,Cecily Brown,"1,500,000","1,000,000","1,209,000",Sold
2552,GBP,3/7/2018,22,Contemporary Art Evening Auction,Contemporary Art Evening Auction,Sotheby's,London,14.00,6998018,Eifrau Die Man Nicht Schubladieren Kann (Egg Lady Who Can’t Be Piegeonholed),PAINTINGS,Martin Kippenberger,"3,000,000","2,000,000","2,169,000",Sold
2553,GBP,3/7/2018,22,Contemporary Art Evening Auction,Contemporary Art Evening Auction,Sotheby's,London,15.00,6998019,Memory Ware Flat #29,PAINTINGS,Mike Kelley,"2,000,000","1,500,000","1,689,000",Sold
2554,GBP,3/7/2018,22,Contemporary Art Evening Auction,Contemporary Art Evening Auction,Sotheby's,London,16.00,6998020,Yellow Cell With Triple Conduit,PAINTINGS,Peter Halley,"350,000","250,000","513,000",Sold
2555,GBP,3/7/2018,22,Contemporary Art Evening Auction,Contemporary Art Evening Auction,Sotheby's,London,17.00,6998021,Untitled,SCULPTURE,Richard Prince,"1,500,000","1,000,000","2,049,000",Sold
2556,GBP,3/7/2018,22,Contemporary Art Evening Auction,Contemporary Art Evening Auction,Sotheby's,London,18.00,6998022,Nov. 8,PAINTINGS,On Kawara,"800,000","600,000","789,000",Sold
2557,GBP,3/7/2018,22,Contemporary Art Evening Auction,Contemporary Art Evening Auction,Sotheby's,London,19.00,6998023,Untitled,PAINTINGS,Rudolf Stingel,"6,000,000","4,000,000","4,667,000",Sold
2558,GBP,3/7/2018,22,Contemporary Art Evening Auction,Contemporary Art Evening Auction,Sotheby's,London,2.00,6998024,Untitled,PAINTINGS,Laura Owens,"350,000","250,000","435,000",Sold
2559,GBP,3/7/2018,22,Contemporary Art Evening Auction,Contemporary Art Evening Auction,Sotheby's,London,20.00,6998025,Amanti (Lovers),PAINTINGS,Michelangelo Pistoletto,"3,000,000","2,300,000","2,634,800",Sold
2560,GBP,3/7/2018,22,Contemporary Art Evening Auction,Contemporary Art Evening Auction,Sotheby's,London,21.00,6998026,Tenda Blu (Blue Curtain),PAINTINGS,Michelangelo Pistoletto,"600,000","400,000","621,000",Sold
2561,GBP,3/7/2018,22,Contemporary Art Evening Auction,Contemporary Art Evening Auction,Sotheby's,London,22.00,6998027,Figura Femminile Con Fiori (Female Figure With Flowers),SCULPTURE,Lucio Fontana,"2,000,000","1,500,000","1,809,000",Sold
2562,GBP,3/7/2018,22,Contemporary Art Evening Auction,Contemporary Art Evening Auction,Sotheby's,London,23.00,6998028,"Oiks, Tarts, Wierdoes And Contemporary Art",SCULPTURE,Grayson Perry,"120,000","80,000","175,000",Sold
2563,GBP,3/7/2018,22,Contemporary Art Evening Auction,Contemporary Art Evening Auction,Sotheby's,London,24.00,6998029,Border Country,PAINTINGS,Peter Doig,"700,000","500,000","609,000",Sold
2564,GBP,3/7/2018,22,Contemporary Art Evening Auction,Contemporary Art Evening Auction,Sotheby's,London,25.00,6998030,In Central Park,PAINTINGS,Howard Hodgkin,"800,000","600,000",,Unsold
2565,GBP,3/7/2018,22,Contemporary Art Evening Auction,Contemporary Art Evening Auction,Sotheby's,London,26.00,6998031,"Different Kinds Of Water Pouring Into A Swimming Pool, Santa Monica",PAINTINGS,David Hockney,"8,000,000","6,000,000",,Unsold
2566,GBP,3/7/2018,22,Contemporary Art Evening Auction,Contemporary Art Evening Auction,Sotheby's,London,27.00,6998032,"Concetto Spaziale, Attese",PAINTINGS,Lucio Fontana,"3,000,000","2,000,000","5,005,700",Sold
2567,GBP,3/7/2018,22,Contemporary Art Evening Auction,Contemporary Art Evening Auction,Sotheby's,London,28.00,6998033,Gelbgrun (Yellow-green),PAINTINGS,Gerhard Richter,"10,000,000","7,000,000","10,876,500",Sold
2568,GBP,3/7/2018,22,Contemporary Art Evening Auction,Contemporary Art Evening Auction,Sotheby's,London,29.00,6998034,Untitled (19.3.86),PAINTINGS,Gerhard Richter,"900,000","700,000","849,000",Sold
2569,GBP,3/7/2018,22,Contemporary Art Evening Auction,Contemporary Art Evening Auction,Sotheby's,London,3.00,6998035,Untitled,PAINTINGS,Albert Oehlen,"1,500,000","1,000,000","1,929,000",Sold
2570,GBP,3/7/2018,22,Contemporary Art Evening Auction,Contemporary Art Evening Auction,Sotheby's,London,30.00,6998036,Kleine Geister (Little Ghosts),SCULPTURE,Thomas Schutte,"450,000","350,000","405,000",Sold
2571,GBP,3/7/2018,22,Contemporary Art Evening Auction,Contemporary Art Evening Auction,Sotheby's,London,31.00,6998037,Alphabet (U),SCULPTURE,Danh Vo,"200,000","150,000",,Unsold
2572,GBP,3/7/2018,22,Contemporary Art Evening Auction,Contemporary Art Evening Auction,Sotheby's,London,32.00,6998038,After Micro W #2,PAINTINGS,Sam Gilliam,"200,000","150,000","200,000",Sold
2573,GBP,3/7/2018,22,Contemporary Art Evening Auction,Contemporary Art Evening Auction,Sotheby's,London,33.00,6998039,Untitled,SCULPTURE,Francesco Lo Savio,"350,000","250,000","309,000",Sold
2574,GBP,3/7/2018,22,Contemporary Art Evening Auction,Contemporary Art Evening Auction,Sotheby's,London,34.00,6998040,Edera (Ivy),SCULPTURE,Luciano Fabro,"700,000","500,000","609,000",Sold
2575,GBP,3/7/2018,22,Contemporary Art Evening Auction,Contemporary Art Evening Auction,Sotheby's,London,35.00,6998041,Sandinsel (Sand Island),SCULPTURE,Gunther Uecker,"800,000","600,000","753,000",Sold
2576,GBP,3/7/2018,22,Contemporary Art Evening Auction,Contemporary Art Evening Auction,Sotheby's,London,36.00,6998042,Untitled (Relief No. 348),SCULPTURE,Sergio de Camargo,"900,000","700,000",,Unsold
2577,GBP,3/7/2018,22,Contemporary Art Evening Auction,Contemporary Art Evening Auction,Sotheby's,London,37.00,6998043,Infinity Nets (Oq4),PAINTINGS,Yayoi Kusama,"1,200,000","800,000","1,269,000",Sold
2578,GBP,3/7/2018,22,Contemporary Art Evening Auction,Contemporary Art Evening Auction,Sotheby's,London,38.00,6998044,Untitled,PAINTINGS,Rudolf Stingel,"2,000,000","1,500,000","1,869,000",Sold
2579,GBP,3/7/2018,22,Contemporary Art Evening Auction,Contemporary Art Evening Auction,Sotheby's,London,39.00,6998045,Caribou Skull,SCULPTURE,Sherrie Levine,"600,000","400,000","489,000",Sold
2580,GBP,3/7/2018,22,Contemporary Art Evening Auction,Contemporary Art Evening Auction,Sotheby's,London,4.00,6998046,Untitled,PAINTINGS,Christopher Wool,"6,200,000","4,200,000","10,424,900",Sold
2581,GBP,3/7/2018,22,Contemporary Art Evening Auction,Contemporary Art Evening Auction,Sotheby's,London,40.00,6998047,The Housewife And The Grocer,PAINTINGS,Richard Prince,"1,800,000","1,200,000","1,269,000",Sold
2582,GBP,3/7/2018,22,Contemporary Art Evening Auction,Contemporary Art Evening Auction,Sotheby's,London,41.00,6998048,O.t. (Death’s Heads),SCULPTURE,Rosemarie Trockel,"600,000","400,000","465,000",Sold
2583,GBP,3/7/2018,22,Contemporary Art Evening Auction,Contemporary Art Evening Auction,Sotheby's,London,42.00,6998049,Down Under,SCULPTURE,Jason Rhoades,"550,000","350,000","345,000",Sold
2584,GBP,3/7/2018,22,Contemporary Art Evening Auction,Contemporary Art Evening Auction,Sotheby's,London,43.00,6998050,Untitled,PAINTINGS,Albert Oehlen,"450,000","350,000","429,000",Sold
2585,GBP,3/7/2018,22,Contemporary Art Evening Auction,Contemporary Art Evening Auction,Sotheby's,London,44.00,6998051,Different From Case To Case,PAINTINGS,Sigmar Polke,"600,000","400,000","753,000",Sold
2586,GBP,3/7/2018,22,Contemporary Art Evening Auction,Contemporary Art Evening Auction,Sotheby's,London,45.00,6998052,Greifbar 40,PHOTOGRAPHS,Wolfgang Tillmans,"300,000","200,000","297,000",Sold
2587,GBP,3/7/2018,22,Contemporary Art Evening Auction,Contemporary Art Evening Auction,Sotheby's,London,46.00,6998053,Untitled (Cowboy),PHOTOGRAPHS,Richard Prince,"900,000","700,000","1,029,000",Sold
