Cust_Id,NPS_Score,NPS_Category,Timely_delivery,No_of_calls_in_an_Order,Loyalty_Years,C_Marital_Status,Tier_City,Mode_of_Payment,No_of_Items_in_Order,Gender,Order_Mode,Score_on_Food_Quality,Score_on_Order_Logistics,Menu_Presentation_Score,Score_on_Recommendations,Score_on_Delivery_Person_Friendliness
1,1,Detractor,N,4,5,Married,Tier1,Card,7,M,call,2,5,4,8,5
2,7,Passives,N,4,6,Not Married,Tier2,e-Wallet,5,F,m-comm,8,10,6,4,3
3,0,Detractor,N,4,7,Married,Tier3,Cash,1,M,call,4,2,7,8,2
4,0,Detractor,N,4,1,Not Married,Tier1,Ziggy Credit,1,F,call,9,3,4,10,5
5,4,Detractor,N,4,10,Married,Tier2,Card,6,M,call,7,1,6,7,4
6,10,Promoter,N,4,7,Married,Tier1,e-Wallet,8,F,m-comm,10,6,4,2,10
7,0,Detractor,N,4,3,Married,Tier1,Cash,7,M,call,9,4,3,3,1
8,1,Detractor,N,4,7,Not Married,Tier2,Ziggy Credit,4,F,call,9,1,5,10,2
9,6,Detractor,N,4,7,Married,Tier3,Card,4,M,call,5,5,10,1,1
10,9,Promoter,N,4,5,Married,Tier3,e-Wallet,10,F,m-comm,7,10,7,7,8
11,4,Detractor,N,4,9,Married,Tier2,Cash,4,M,call,10,1,1,1,6
12,8,Passives,Y,4,1,Not Married,Tier3,Ziggy Credit,7,F,call,6,2,1,7,3
13,2,Detractor,N,4,4,Married,Tier1,Card,3,M,call,9,3,6,6,3
14,7,Passives,N,4,9,Not Married,Tier2,e-Wallet,1,F,m-comm,9,3,9,8,7
15,6,Detractor,N,4,3,Married,Tier3,Cash,7,M,call,7,8,5,2,9
16,6,Detractor,N,4,10,Not Married,Tier1,Ziggy Credit,3,F,call,10,5,8,5,4
17,6,Detractor,N,4,3,Married,Tier2,Card,5,M,call,10,2,6,10,4
18,2,Detractor,N,4,5,Not Married,Tier3,e-Wallet,4,F,call,4,4,10,4,8
19,4,Detractor,N,4,4,Married,Tier1,Cash,4,M,call,10,2,7,6,4
20,3,Detractor,N,4,4,Not Married,Tier2,Ziggy Credit,5,F,call,10,9,8,8,3
21,8,Passives,Y,4,8,Married,Tier3,Card,4,M,call,4,7,6,6,6
22,0,Detractor,Y,4,10,Not Married,Tier1,e-Wallet,4,F,e-comm,10,9,5,1,6
23,5,Detractor,Y,4,2,Married,Tier2,Cash,1,M,e-comm,10,1,3,9,4
24,10,Promoter,N,4,7,Married,Tier1,Ziggy Credit,10,F,e-comm,10,9,5,4,8
25,0,Detractor,Y,4,1,Married,Tier1,Card,2,M,e-comm,9,10,5,3,3
26,1,Detractor,Y,4,3,Not Married,Tier2,e-Wallet,6,F,e-comm,9,7,5,4,4
27,1,Detractor,N,4,10,Married,Tier3,Cash,4,M,call,5,6,2,1,2
28,9,Promoter,N,4,5,Married,Tier1,Ziggy Credit,10,F,m-comm,10,5,10,5,10
29,10,Promoter,Y,4,4,Married,Tier1,Card,9,M,m-comm,9,2,7,5,9
30,6,Detractor,N,4,1,Not Married,Tier3,e-Wallet,6,F,call,8,4,7,1,4
31,4,Detractor,Y,4,2,Married,Tier1,Cash,2,M,e-comm,10,8,4,2,5
32,7,Passives,N,4,6,Not Married,Tier2,Ziggy Credit,4,F,m-comm,9,7,7,8,10
33,3,Detractor,N,4,4,Married,Tier3,Card,3,M,call,7,2,4,2,4
34,7,Passives,N,4,4,Not Married,Tier1,e-Wallet,3,F,e-comm,10,6,7,10,10
35,8,Passives,Y,4,1,Married,Tier2,Cash,4,M,m-comm,10,9,9,4,2
36,4,Detractor,N,4,10,Not Married,Tier3,Ziggy Credit,4,F,call,4,6,2,3,1
37,3,Detractor,Y,4,3,Married,Tier1,Card,5,M,e-comm,10,3,8,1,3
38,6,Detractor,Y,4,9,Not Married,Tier2,e-Wallet,1,F,e-comm,9,5,3,7,4
39,7,Passives,N,4,1,Married,Tier3,Cash,5,M,call,5,9,5,7,8
40,5,Detractor,Y,4,8,Not Married,Tier1,Ziggy Credit,3,F,call,10,8,10,5,4
41,7,Passives,Y,4,7,Married,Tier2,Card,4,M,m-comm,10,6,3,4,5
42,10,Promoter,N,4,7,Married,Tier1,e-Wallet,5,F,m-comm,9,3,3,1,10
43,8,Passives,Y,4,1,Married,Tier1,Cash,3,M,e-comm,9,3,1,7,6
44,0,Detractor,Y,4,8,Not Married,Tier2,Ziggy Credit,2,F,call,10,2,6,10,4
45,7,Passives,N,4,9,Married,Tier3,Card,4,M,call,6,9,6,3,1
46,6,Detractor,Y,4,5,Not Married,Tier1,e-Wallet,1,F,call,10,3,8,3,3
47,7,Passives,Y,4,3,Married,Tier2,Cash,7,M,m-comm,9,5,1,8,3
48,7,Passives,N,4,8,Not Married,Tier3,Ziggy Credit,5,F,call,7,9,4,2,1
49,1,Detractor,N,4,8,Married,Tier1,Card,1,M,call,10,7,9,3,2
50,8,Passives,N,4,3,Not Married,Tier2,e-Wallet,4,F,m-comm,9,10,4,5,7
51,7,Passives,N,4,3,Married,Tier3,Cash,1,M,call,4,1,2,8,7
52,0,Detractor,N,4,6,Not Married,Tier1,Ziggy Credit,4,F,call,9,6,4,8,5
53,1,Detractor,N,4,5,Married,Tier2,Card,1,M,call,9,1,3,4,4
54,1,Detractor,Y,4,5,Not Married,Tier3,e-Wallet,6,F,call,6,9,1,7,9
55,6,Detractor,N,4,2,Married,Tier1,Cash,6,M,call,9,1,1,5,5
56,10,Promoter,N,4,6,Not Married,Tier1,Ziggy Credit,9,F,m-comm,10,8,2,5,9
57,1,Detractor,N,4,8,Married,Tier3,Card,4,M,call,8,7,7,6,7
58,5,Detractor,Y,4,3,Not Married,Tier1,e-Wallet,1,F,m-comm,10,9,9,7,6
59,10,Promoter,Y,4,3,Married,Tier2,Cash,8,M,e-comm,9,4,6,1,10
60,7,Passives,Y,4,10,Not Married,Tier3,Ziggy Credit,6,F,call,8,6,6,8,1
61,1,Detractor,Y,4,8,Married,Tier1,Card,1,M,m-comm,9,4,3,10,2
62,8,Passives,N,4,4,Not Married,Tier2,e-Wallet,3,F,m-comm,10,2,2,4,1
63,7,Passives,N,4,2,Married,Tier3,Cash,7,M,call,5,8,2,3,2
64,5,Detractor,Y,4,2,Not Married,Tier1,Ziggy Credit,5,F,m-comm,10,4,6,3,2
65,5,Detractor,Y,4,4,Married,Tier2,Card,1,M,m-comm,9,3,1,9,5
66,7,Passives,N,4,8,Not Married,Tier3,e-Wallet,1,F,call,7,7,7,2,1
67,0,Detractor,Y,4,2,Married,Tier1,Cash,1,M,m-comm,9,3,8,10,4
68,4,Detractor,Y,4,3,Not Married,Tier2,Ziggy Credit,3,F,m-comm,9,4,6,6,1
69,10,Promoter,Y,4,2,Married,Tier1,Card,10,M,m-comm,10,10,3,6,10
70,9,Promoter,N,4,7,Married,Tier1,e-Wallet,7,F,m-comm,10,1,5,5,7
71,9,Promoter,Y,4,7,Married,Tier1,Cash,5,M,m-comm,10,8,1,7,7
72,1,Detractor,N,4,10,Not Married,Tier3,Ziggy Credit,7,F,call,6,1,7,9,4
73,1,Detractor,Y,4,1,Married,Tier2,Card,6,M,m-comm,10,6,2,5,7
74,6,Detractor,Y,4,5,Not Married,Tier2,e-Wallet,1,F,m-comm,9,6,3,4,1
75,10,Promoter,Y,4,4,Married,Tier1,Cash,9,M,m-comm,10,6,6,2,8
76,2,Detractor,Y,4,4,Not Married,Tier1,Ziggy Credit,4,F,m-comm,9,5,1,6,5
77,0,Detractor,Y,4,9,Married,Tier2,Card,7,M,m-comm,9,6,4,7,1
78,8,Passives,Y,4,2,Not Married,Tier3,e-Wallet,1,F,call,5,6,6,5,6
79,4,Detractor,Y,4,5,Married,Tier1,Cash,2,M,m-comm,10,9,9,4,4
80,5,Detractor,Y,4,8,Not Married,Tier2,Ziggy Credit,7,F,m-comm,9,2,6,3,1
81,8,Passives,Y,4,7,Married,Tier3,Card,6,M,call,4,3,9,1,8
82,3,Detractor,Y,4,9,Not Married,Tier1,e-Wallet,7,F,m-comm,9,8,3,6,6
83,2,Detractor,Y,4,5,Married,Tier2,Cash,1,M,m-comm,10,4,5,2,3
84,7,Passives,N,4,4,Not Married,Tier3,Ziggy Credit,2,F,call,5,8,5,1,1
85,2,Detractor,Y,4,9,Married,Tier1,Card,3,M,m-comm,9,4,8,2,1
86,1,Detractor,Y,4,3,Not Married,Tier2,e-Wallet,6,F,m-comm,10,8,10,10,1
87,9,Promoter,N,4,8,Married,Tier3,Cash,2,M,call,7,7,4,10,7
88,1,Detractor,N,4,6,Married,Tier1,Ziggy Credit,10,F,e-comm,9,9,2,8,10
89,7,Passives,Y,4,6,Married,Tier2,Card,5,M,m-comm,9,2,9,3,5
90,7,Passives,N,4,10,Not Married,Tier3,e-Wallet,3,F,call,6,5,2,4,2
91,6,Detractor,Y,4,3,Married,Tier1,Cash,3,M,m-comm,9,1,3,3,6
92,5,Detractor,Y,4,3,Not Married,Tier2,Ziggy Credit,7,F,m-comm,10,1,9,3,3
93,7,Passives,N,4,5,Married,Tier3,Card,4,M,call,4,1,4,8,1
94,3,Detractor,Y,4,9,Not Married,Tier1,e-Wallet,1,F,m-comm,10,6,4,6,1
95,1,Detractor,Y,4,4,Married,Tier2,Cash,7,M,m-comm,9,7,6,2,6
96,7,Passives,Y,4,4,Not Married,Tier3,Ziggy Credit,1,F,call,7,1,6,2,6
97,10,Promoter,Y,4,3,Married,Tier2,Card,10,M,m-comm,9,10,2,2,9
98,2,Detractor,Y,4,8,Not Married,Tier2,e-Wallet,1,F,m-comm,10,8,6,10,6
99,7,Passives,N,4,5,Married,Tier3,Cash,2,M,call,4,6,4,4,1
100,9,Promoter,N,4,5,Married,Tier1,Ziggy Credit,6,F,m-comm,10,4,6,10,10
101,5,Detractor,Y,4,2,Married,Tier2,Card,3,M,m-comm,10,6,3,5,5
102,1,Detractor,N,4,6,Not Married,Tier3,e-Wallet,2,F,call,4,10,5,4,4
103,4,Detractor,Y,4,4,Married,Tier1,Cash,3,M,m-comm,10,7,6,3,1
104,1,Detractor,Y,4,7,Not Married,Tier2,Ziggy Credit,5,F,m-comm,9,9,5,8,3
105,7,Passives,N,4,8,Married,Tier3,Card,1,M,call,8,5,3,10,3
106,9,Promoter,N,4,5,Married,Tier1,e-Wallet,10,F,m-comm,9,1,9,5,7
107,6,Detractor,Y,4,1,Married,Tier2,Cash,1,M,m-comm,10,3,10,4,3
108,10,Promoter,N,4,5,Married,Tier1,Ziggy Credit,7,F,m-comm,10,8,10,9,9
109,8,Passives,Y,4,8,Married,Tier1,Card,1,M,e-comm,10,9,4,3,3
110,6,Detractor,Y,4,8,Not Married,Tier2,e-Wallet,7,F,m-comm,9,3,7,1,2
111,10,Promoter,Y,4,7,Married,Tier1,Cash,6,M,e-comm,10,4,5,7,9
112,9,Promoter,N,4,7,Married,Tier1,Ziggy Credit,6,F,m-comm,10,4,1,10,10
113,0,Detractor,Y,4,10,Married,Tier2,Card,2,M,m-comm,9,4,10,10,6
114,7,Passives,N,4,2,Not Married,Tier3,e-Wallet,4,F,call,5,8,8,1,7
115,4,Detractor,Y,4,8,Married,Tier1,Cash,4,M,m-comm,10,2,7,7,5
116,2,Detractor,Y,4,9,Not Married,Tier2,Ziggy Credit,3,F,m-comm,9,1,4,8,1
117,7,Passives,N,4,2,Married,Tier3,Card,4,M,call,7,8,3,3,10
118,10,Promoter,N,4,7,Married,Tier1,e-Wallet,7,F,m-comm,10,8,8,2,9
119,9,Promoter,Y,4,5,Married,Tier1,Cash,8,M,m-comm,10,7,10,3,10
