"","lhs","rhs","support","confidence","lift","count"
"1","{Bonds,FD,NRI Banking}","{Credit Card}",0.0066815144766147,1,6.8030303030303,3
"2","{Car Insurance,Debit Card,Mobile Banking}","{Savings Account}",0.0066815144766147,1,6.23611111111111,3
"3","{Credit Card,FD,NRI Banking}","{Bonds}",0.0066815144766147,1,6.23611111111111,3
"4","{Bonds,Debit Card,General Insurance}","{FD}",0.0066815144766147,1,6.06756756756757,3
"5","{Bonds,Credit Card,NRI Banking}","{FD}",0.0066815144766147,1,6.06756756756757,3
"6","{Car Insurance,Debit Card,Savings Account}","{Mobile Banking}",0.0066815144766147,1,5.47560975609756,3
"7","{Bonds,FD,General Insurance}","{Debit Card}",0.0066815144766147,0.75,4.95220588235294,3
"8","{Debit Card,FD,General Insurance}","{Bonds}",0.0066815144766147,0.75,4.67708333333333,3
"9","{Bonds,Credit Card,FD}","{NRI Banking}",0.0066815144766147,0.75,4.15740740740741,3
"10","{Bonds,Debit Card,FD}","{General Insurance}",0.0066815144766147,0.6,3.592,3
"11","{NPS,Savings Account}","{Stocks}",0.0066815144766147,0.5,3.45384615384615,3
"12","{Debit Card,NRI Banking}","{General Insurance}",0.0089086859688196,0.571428571428571,3.42095238095238,4
"13","{NPS,PPF}","{Credit Card}",0.0089086859688196,0.5,3.40151515151515,4
"14","{Debit Card,Mobile Banking,Savings Account}","{Car Insurance}",0.0066815144766147,0.6,3.32592592592593,3
"15","{Car Insurance,Credit Card}","{NRI Banking}",0.0089086859688196,0.571428571428571,3.16754850088183,4
"16","{Credit Card,FD}","{Bonds}",0.0089086859688196,0.5,3.11805555555556,4
"17","{Credit Card,Mobile Banking}","{Savings Account}",0.0066815144766147,0.5,3.11805555555556,3
"18","{Car Insurance,Mobile Banking}","{Savings Account}",0.0155902004454343,0.5,3.11805555555556,7
"19","{Debit Card,Savings Account}","{Mobile Banking}",0.0111358574610245,0.555555555555556,3.0420054200542,5
"20","{General Insurance,PPF}","{FD}",0.0089086859688196,0.5,3.03378378378378,4
"21","{Credit Card,Savings Account}","{NRI Banking}",0.0066815144766147,0.5,2.7716049382716,3
"22","{Credit Card,Mobile Banking}","{NRI Banking}",0.0066815144766147,0.5,2.7716049382716,3
"23","{Credit Card,Savings Account}","{Mobile Banking}",0.0066815144766147,0.5,2.73780487804878,3
"24","{Car Insurance,Savings Account}","{Mobile Banking}",0.0155902004454343,0.5,2.73780487804878,7
