"","Cust_id","Age","Annual_Income_Lacs","Twitter User","Number of Vehicles","Gender","Married","Daily hours of work","Affluent_Lifestyle","No of Dependents","Urban_residence","Social","Outstation_Travel_last_year"
"1",9400,15,1,1,4,0,1,12,1,6,1,1,1
"2",8418,15,1.7,1,3,0,1,12,1,4,1,1,4
"3",10559,15,1.8,1,2,0,1,12,1,3,1,1,4
"4",9924,15,1.8,1,2,0,1,15,1,6,1,1,6
"5",9823,15,2.1,1,5,0,1,13,1,3,1,1,1
"6",8995,15,2.1,1,1,0,1,12,1,5,1,1,3
"7",10472,15,2.3,1,4,0,1,9,1,7,1,1,7
"8",2480,15,2.7,1,4,0,1,12,0,5,1,1,2
"9",6744,15,2.8,1,1,0,1,9,1,1,1,1,3
"10",9571,15,3.8,1,2,0,1,10,1,2,1,1,4
"11",1422,15,3.8,1,3,0,1,14,0,8,1,1,0
"12",7839,15,4,1,4,0,1,9,1,6,1,1,1
"13",9375,15,4.9,1,2,0,1,14,1,4,1,1,1
"14",1457,15,4.9,1,2,0,1,12,0,6,1,1,2
"15",1351,15,5,1,1,0,1,10,0,3,1,1,4
"16",1454,15,5.1,1,2,0,1,12,0,3,1,1,0
"17",9624,15,5.5,1,3,0,1,12,1,3,1,1,2
"18",8314,15,5.6,1,4,0,1,12,1,5,1,1,0
"19",6074,15,5.9,1,3,0,1,12,1,8,1,1,5
"20",6750,15,5.9,1,5,0,1,15,1,1,1,1,5
"21",10808,15,6.2,1,4,0,1,14,1,3,1,1,3
"22",4600,15,6.3,1,1,0,1,15,0,8,1,1,3
"23",4599,15,6.4,1,5,0,1,10,0,7,1,1,1
"24",4252,15,6.5,1,3,0,1,10,0,2,1,1,6
"25",8096,15,6.5,1,4,0,1,11,1,5,1,1,6
"26",1834,15,6.6,1,4,0,1,10,0,5,1,1,0
"27",9393,15,6.8,1,5,0,1,14,1,5,1,1,1
"28",8120,15,8.2,1,3,0,1,11,1,7,1,1,0
"29",7414,15,8.7,1,3,0,1,12,1,7,1,1,7
"30",8894,15,8.7,1,3,0,1,11,1,7,1,1,6
"31",64,15,8.9,1,2,0,1,15,0,1,1,1,5
"32",1981,15,9.1,1,2,0,1,11,0,2,1,1,1
"33",1892,15,9.3,1,2,0,1,12,0,8,1,1,5
"34",295,15,9.4,1,4,0,1,11,0,4,1,1,1
"35",1402,15,9.8,1,4,0,1,12,0,3,1,1,1
"36",490,15,10.1,1,4,0,1,12,0,7,1,1,10
"37",4071,15,10.3,1,5,0,1,14,0,6,1,1,1
"38",9132,15,10.7,1,2,0,1,13,1,6,1,1,7
"39",8642,15,11.5,1,4,0,1,15,1,4,1,1,7
"40",2113,15,11.6,1,2,0,1,11,0,8,1,1,1
"41",10273,15,11.9,1,3,0,1,12,1,3,1,1,1
"42",3134,15,11.9,1,5,0,1,12,0,2,1,1,3
"43",5000,15,12.2,1,4,0,1,11,0,3,1,1,3
"44",3961,15,12.2,1,2,0,1,10,0,6,1,1,3
"45",3621,15,12.6,1,3,0,1,14,0,6,1,1,0
