"","x"
"1",1216
"2",6844
"3",1081
"4",2156
"5",4405
"6",4006
"7",8476
"8",5730
"9",2115
"10",9182
"11",9870
"12",9701
"13",4694
"14",3322
"15",2888
"16",6702
"17",812
"18",4979
"19",3141
"20",3457
"21",4134
"22",8376
"23",6482
"24",651
"25",9322
"26",2073
"27",10234
"28",9634
"29",5892
"30",6896
"31",6570
"32",10825
"33",8284
"34",1140
"35",8283
"36",2964
"37",8380
"38",8403
"39",3494
"40",7283
"41",5759
"42",1342
"43",8579
"44",280
"45",5044
"46",5510
"47",1032
"48",117
"49",9676
"50",9286
"51",8159
"52",7004
"53",5628
"54",3384
"55",2431
"56",1958
"57",7545
"58",5293
"59",1534
"60",8175
"61",1057
"62",2950
"63",6076
"64",1260
"65",5238
"66",2892
"67",1806
"68",3256
"69",10727
"70",9654
"71",10320
"72",2106
"73",10269
"74",10852
"75",4781
"76",1382
"77",4087
"78",824
"79",5268
"80",3112
"81",5010
"82",4859
"83",3088
"84",975
"85",496
"86",3686
"87",3050
"88",8054
"89",7516
"90",5726
"91",5159
"92",10155
"93",10507
"94",8170
"95",160
"96",1320
"97",9664
"98",6503
"99",4948
"100",7716
"101",3816
"102",10390
"103",10252
"104",3890
"105",6879
"106",5218
"107",1989
"108",10400
"109",2823
"110",7332
"111",1092
"112",7455
"113",9818
"114",6657
"115",986
"116",5194
"117",6830
"118",6848
"119",6431
"120",1263
"121",10225
"122",5440
"123",5842
"124",845
"125",4072
"126",8500
"127",1776
"128",5094
"129",9850
"130",430
"131",2688
"132",4607
"133",5169
"134",1705
"135",7241
"136",683
"137",3632
"138",2668
"139",4152
"140",7338
"141",1068
"142",1592
"143",7301
"144",5279
"145",3830
"146",6066
"147",5896
"148",8584
"149",8842
"150",2467
"151",434
"152",6194
"153",1562
"154",2689
"155",5378
"156",10430
"157",4457
"158",2660
"159",554
"160",7425
"161",8452
"162",3592
"163",4556
"164",10190
"165",7005
"166",8746
"167",5212
"168",6046
"169",3272
"170",6554
"171",2045
"172",3834
"173",6446
"174",2427
"175",3750
"176",6494
"177",4351
"178",5846
"179",9592
"180",8136
"181",5470
"182",4640
"183",5411
"184",6159
"185",526
"186",1716
"187",2155
"188",3972
"189",7033
"190",10249
"191",1374
"192",3773
"193",4586
"194",242
"195",8018
"196",9800
"197",4338
"198",5164
"199",7576
"200",4972
"201",1118
"202",10609
"203",9478
"204",9334
"205",3416
"206",250
"207",1755
"208",815
"209",2036
"210",8985
"211",1330
"212",3391
"213",1626
"214",5171
"215",8780
"216",3290
"217",10242
"218",1561
"219",7830
"220",10006
"221",1062
"222",505
"223",10186
"224",6008
"225",10164
"226",5684
"227",4318
"228",5522
"229",3056
"230",10788
"231",6477
"232",2670
"233",9178
"234",645
"235",410
"236",8714
"237",3733
"238",6538
"239",7760
"240",10000
"241",9932
"242",2889
"243",621
"244",97
"245",8148
"246",7781
"247",6982
"248",7804
"249",9306
"250",9555
"251",2867
"252",6370
"253",5778
"254",9982
"255",8996
"256",8545
"257",7392
"258",4000
"259",3680
"260",7110
"261",5734
"262",4448
"263",8230
"264",5266
"265",1779
"266",8978
"267",1185
"268",949
"269",7980
"270",3748
"271",2500
"272",257
"273",3864
"274",4238
"275",8812
"276",10770
"277",4502
"278",714
"279",4711
"280",1015
"281",5174
"282",1544
"283",54
"284",6206
"285",1772
"286",5680
"287",2507
"288",8967
"289",810
"290",9154
"291",10740
"292",10362
"293",2960
"294",8450
"295",8654
"296",8191
"297",1675
"298",5245
"299",9256
"300",4969
"301",4522
"302",6489
"303",10832
"304",3767
"305",7304
"306",10856
"307",8774
"308",8389
"309",9656
"310",6598
