"","gender","married","buy"
"S1","Male","Married","Buy"
"S2","Male","Single","NotBuy"
"S3","Male","Married","Buy"
"S4","Female","Married","Buy"
"S5","Male","Married","NotBuy"
"S6","Female","Single","NotBuy"
"S7","Female","Single","Buy"
"S8","Male","Single","NotBuy"
"S9","Male","Married","Buy"
"S10","Male","Married","Buy"
"S11","Male","Married","Buy"
"S12","Male","Single","Buy"
"S13","Male","Married","NotBuy"
"S14","Male","Single","Buy"
"S15","Female","Married","Buy"
"S16","Male","Single","NotBuy"
"S17","Female","Married","NotBuy"
"S18","Female","Single","Buy"
"S19","Male","Married","Buy"
"S20","Female","Married","Buy"
"S21","Female","Married","NotBuy"
"S22","Male","Single","Buy"
"S23","Male","Married","NotBuy"
"S24","Male","Single","Buy"
"S25","Male","Married","Buy"
"S26","Male","Married","Buy"
"S27","Male","Single","Buy"
"S28","Male","Married","Buy"
"S29","Female","Married","NotBuy"
"S30","Male","Single","Buy"
"S31","Male","Married","Buy"
"S32","Male","Married","Buy"
"S33","Male","Married","NotBuy"
"S34","Male","Married","NotBuy"
"S35","Female","Married","Buy"
"S36","Male","Married","NotBuy"
"S37","Female","Married","NotBuy"
"S38","Male","Married","Buy"
"S39","Female","Married","NotBuy"
"S40","Male","Married","Buy"
"S41","Female","Married","NotBuy"
"S42","Male","Married","Buy"
"S43","Female","Married","Buy"
"S44","Male","Married","Buy"
"S45","Male","Single","NotBuy"
"S46","Female","Married","NotBuy"
"S47","Male","Married","NotBuy"
"S48","Male","Married","Buy"
"S49","Female","Single","Buy"
"S50","Male","Married","NotBuy"
"S51","Male","Married","Buy"
"S52","Female","Married","Buy"
"S53","Male","Married","NotBuy"
"S54","Male","Single","NotBuy"
"S55","Male","Married","Buy"
"S56","Male","Married","NotBuy"
"S57","Male","Married","NotBuy"
"S58","Male","Single","NotBuy"
"S59","Male","Married","NotBuy"
"S60","Male","Married","NotBuy"
"S61","Female","Single","NotBuy"
"S62","Male","Single","NotBuy"
"S63","Male","Single","NotBuy"
