"","Channel","Region","Fresh","Milk","Grocery","Frozen","Detergents_Paper","Delicassen","C3","C5"
"48",2,3,44466,54259,55571,7782,24171,6465,1,2
"57",2,3,4098,29892,26866,2616,17740,1340,1,2
"62",2,3,35942,38369,59598,3254,26701,2017,1,2
"66",2,3,85,20959,45828,36,24231,1423,1,2
"86",2,3,16117,46197,92780,1026,40827,2944,1,2
"87",2,3,22925,73498,32114,987,20070,903,1,2
"93",2,3,9198,27472,32034,3232,18906,5130,1,2
"212",2,1,12119,28326,39694,4736,19410,2870,1,2
"252",2,1,6134,23133,33586,6746,18594,5121,1,2
"334",2,2,8565,4980,67298,131,38102,1215,1,2
