Merchant_Id,Annual_Sales,Merchant_Location,Zone,No_of_helpers,Daily_OPEN_hours,Years_Open,Owner's_Age,Owner's_Education,Cashier_Sales_Person_Age,Merchant_Type,Shopping_Complex_Or_Standalone
mid,sales,loc,zone,helpers,hours,years ,oage,oedn,cage,mtype,mcat
247,195,NJ City,E,1,20,18,66,High School,33,Owner,Standalone
9026,417,NJ City,S,1,10,14,43,Graduation,21,Patnership,Complex
5245,147.46,Boston,N,2,23,1,46,High School,24,Patnership,Standalone
6644,500,Boston,W,2,24,17,59,Graduation,22,Franchise,Complex
4497,111.19,NJ City,N,20,11,4,76,Graduation,22,Patnership,Standalone
2571,113,NJ City,E,1,24,14,31,High School,22,Owner,Standalone
6534,447,Boston,S,1,22,12,25,Graduation,31,Patnership,Complex
7201,393,Boston,N,1,12,16,49,Graduation,21,Patnership,Standalone
9051,434,NJ City,E,2,13,14,79,Graduation,19,Owner,Standalone
4157,183,NJ City,N,3,18,6,81,High School,32,Patnership,Standalone
3746,110,NJ City,S,2,15,21,57,High School,35,Patnership,Complex
6386,381,Boston,S,3,17,10,50,Graduation,25,Patnership,Complex
6094,283.85,Boston,S,15,8,2,80,High School,22,Patnership,Complex
4090,375.26,NJ City,S,5,13,4,60,High School,28,Patnership,Complex
9536,370,NJ City,W,3,8,18,62,Graduation,23,Franchise,Complex
7047,414,Boston,E,2,16,7,61,Graduation,27,Owner,Standalone
3199,244,NJ City,E,2,21,16,46,High School,33,Owner,Standalone
3548,122,NJ City,W,2,20,6,76,High School,31,Franchise,Complex
3694,289,NJ City,S,18,21,1,54,High School,31,Patnership,Complex
6101,467,Boston,N,2,8,23,54,Graduation,28,Patnership,Standalone
8857,69.28,NJ City,N,3,20,1,45,High School,30,Patnership,Standalone
7901,379,Boston,N,2,10,19,59,Graduation,24,Patnership,Standalone
5720,420,Boston,W,2,14,17,79,Graduation,35,Franchise,Complex
8322,487,NJ City,S,3,20,7,67,Graduation,35,Patnership,Complex
2789,193,NJ City,N,3,16,6,75,High School,25,Patnership,Standalone
7970,474,Boston,S,1,20,22,28,Graduation,21,Patnership,Complex
4478,117.18,NJ City,S,25,21,3,29,No education,19,Patnership,Complex
2109,70.5,NJ City,N,15,19,4,81,Graduation,33,Patnership,Standalone
8430,77.67,NJ City,S,17,18,2,32,Graduation,30,Patnership,Complex
6569,275.81,Boston,N,12,10,2,69,No education,22,Patnership,Standalone
4965,92.68,Boston,N,8,18,1,47,Graduation,34,Patnership,Standalone
7817,387,Boston,N,3,8,10,54,Graduation,18,Patnership,Standalone
1798,299,NJ City,S,2,20,11,56,High School,31,Patnership,Complex
3433,188,NJ City,N,3,14,24,47,High School,31,Patnership,Standalone
591,284,NJ City,E,1,18,17,39,High School,22,Owner,Standalone
1863,238,NJ City,E,2,17,16,36,High School,29,Owner,Standalone
4537,23.48,NJ City,N,9,13,4,80,High School,22,Patnership,Standalone
1544,122.44,NJ City,W,12,13,3,57,No education,28,Franchise,Complex
529,470,NJ City,N,2,20,5,51,Graduation,25,Patnership,Standalone
8065,438,NJ City,N,1,20,7,31,Graduation,35,Patnership,Standalone
3427,127.88,NJ City,E,2,24,1,74,High School,26,Owner,Standalone
4624,366,NJ City,W,1,16,5,27,Graduation,21,Franchise,Complex
1816,160,NJ City,W,2,24,7,56,High School,20,Franchise,Complex
4232,462.12,NJ City,W,1,24,14,74,No education,24,Franchise,Complex
3295,252,NJ City,E,2,20,9,77,High School,30,Owner,Standalone
6953,176.16,Boston,N,1,8,2,77,No education,29,Patnership,Standalone
9907,352,NJ City,E,1,24,18,38,Graduation,23,Owner,Standalone
7869,499,Boston,N,2,18,7,55,Graduation,20,Patnership,Standalone
3405,84.91,NJ City,N,13,10,4,50,Graduation,20,Patnership,Standalone
2119,276,NJ City,E,2,23,22,48,High School,20,Owner,Standalone
4418,220,NJ City,S,2,17,24,26,High School,27,Patnership,Complex
5843,426,Boston,E,1,19,20,84,Graduation,29,Owner,Standalone
3947,86.88,NJ City,E,24,9,3,84,No education,28,Owner,Standalone
4495,434,NJ City,E,3,14,5,39,Graduation,18,Owner,Standalone
9350,358,NJ City,S,1,21,14,47,Graduation,35,Patnership,Complex
5950,482,Boston,S,2,18,23,72,Graduation,31,Patnership,Complex
7564,490,Boston,W,2,13,15,58,Graduation,25,Franchise,Complex
3541,239,NJ City,N,1,19,9,42,High School,23,Patnership,Standalone
97,100.27,NJ City,N,18,17,4,55,High School,34,Patnership,Standalone
3745,272.24,NJ City,N,17,10,2,33,High School,28,Patnership,Standalone
1415,20.59,NJ City,N,24,19,3,63,No education,19,Owner,Standalone
2198,237,NJ City,S,2,14,11,42,High School,25,Patnership,Complex
4256,227.68,NJ City,W,8,9,3,32,No education,35,Franchise,Complex
3942,150.48,NJ City,S,4,12,1,77,Graduation,34,Patnership,Complex
7751,215.34,Boston,E,8,19,3,85,No education,31,Owner,Standalone
172,318,NJ City,W,1,17,7,41,High School,20,Franchise,Complex
370,249,NJ City,S,2,13,17,38,High School,25,Patnership,Complex
5095,489,Boston,E,3,12,10,41,Graduation,18,Owner,Standalone
7605,427,Boston,N,3,22,7,71,Graduation,20,Patnership,Standalone
2056,204.08,NJ City,W,12,22,4,44,High School,34,Franchise,Complex
3073,115,NJ City,N,1,8,17,85,High School,28,Patnership,Standalone
8017,409,Boston,N,3,8,15,66,Graduation,31,Patnership,Standalone
8240,29.53,NJ City,N,21,16,4,75,No education,22,Franchise,Complex
1080,131,NJ City,W,3,18,7,27,High School,20,Franchise,Complex
6470,77.33,Boston,S,14,10,1,33,No education,23,Patnership,Complex
6181,95.11,Boston,N,9,13,3,59,High School,31,Patnership,Standalone
2392,281,NJ City,W,1,11,7,79,High School,32,Franchise,Complex
919,162,NJ City,E,3,24,12,43,High School,33,Owner,Standalone
9770,240.75,NJ City,S,8,24,3,66,No education,27,Patnership,Complex
6106,384,Boston,S,2,12,7,63,Graduation,24,Patnership,Complex
3605,270,NJ City,N,1,10,23,64,High School,26,Patnership,Standalone
8651,125.31,NJ City,E,15,18,1,83,No education,30,Owner,Standalone
8125,234.86,NJ City,N,2,12,4,55,High School,22,Patnership,Standalone
2904,178,NJ City,W,3,24,19,74,High School,35,Franchise,Complex
9211,481.81,NJ City,E,1,21,4,74,High School,22,Owner,Standalone
4538,235.56,NJ City,S,3,24,11,35,No education,18,Patnership,Complex
2401,379,NJ City,N,3,8,5,76,Graduation,26,Patnership,Standalone
8444,474,NJ City,W,1,22,19,41,Graduation,30,Franchise,Complex
1376,487,NJ City,W,2,24,5,40,Graduation,33,Franchise,Complex
6265,385,Boston,N,2,22,8,83,Graduation,34,Patnership,Standalone
2936,119.05,NJ City,W,20,18,2,72,No education,19,Franchise,Complex
7411,44.62,Boston,N,15,23,1,51,High School,28,Owner,Standalone
9900,210.94,NJ City,W,4,19,3,70,Graduation,30,Franchise,Complex
3413,267,NJ City,N,1,8,25,40,High School,22,Patnership,Standalone
1329,406.51,NJ City,N,7,8,4,64,Graduation,19,Patnership,Standalone
9989,71.1,NJ City,N,7,16,1,37,No education,25,Patnership,Standalone
6303,350,Boston,E,1,11,25,26,Graduation,20,Owner,Standalone
3453,116,NJ City,N,2,13,18,69,High School,23,Patnership,Standalone
4374,119,NJ City,S,3,12,15,48,High School,23,Patnership,Complex
1453,247.19,NJ City,N,4,11,2,33,High School,31,Patnership,Standalone
8699,455,NJ City,E,2,9,18,46,Graduation,34,Owner,Standalone
9917,416,NJ City,N,2,22,16,67,Graduation,31,Patnership,Standalone
1247,269,NJ City,E,2,22,10,36,High School,19,Owner,Standalone
2689,174,NJ City,N,1,9,21,27,High School,35,Patnership,Standalone
1086,307,NJ City,S,3,22,21,81,High School,18,Patnership,Complex
5366,496,Boston,S,2,11,23,30,Graduation,27,Patnership,Complex
8595,426,NJ City,E,3,17,5,66,Graduation,25,Owner,Standalone
1602,50.25,NJ City,S,1,21,1,25,Graduation,19,Patnership,Complex
8115,200.25,NJ City,E,1,9,2,83,Graduation,22,Owner,Standalone
1338,64.3,NJ City,N,22,14,3,33,Graduation,33,Patnership,Complex
1242,116,NJ City,S,3,24,11,41,High School,34,Patnership,Complex
3304,243,NJ City,W,3,13,8,38,High School,28,Franchise,Complex
2948,265,NJ City,W,2,18,24,67,High School,32,Franchise,Complex
79,105,Boston,E,2,16,8,85,High School,31,Owner,Standalone
2367,174,NJ City,E,3,17,22,46,High School,24,Owner,Standalone
5530,79.05,Boston,S,20,10,1,42,High School,21,Patnership,Complex
5110,449,Boston,S,2,16,18,79,Graduation,30,Patnership,Complex
1811,170,NJ City,E,3,21,14,83,High School,28,Owner,Standalone
8650,400,NJ City,S,3,22,24,80,Graduation,32,Patnership,Complex
1466,376.99,NJ City,S,2,21,19,42,No education,28,Patnership,Complex
2157,101,NJ City,N,2,14,13,83,High School,28,Patnership,Standalone
3146,247,NJ City,S,1,18,7,59,High School,19,Patnership,Complex
6659,8.39,Boston,N,2,19,2,41,No education,25,Owner,Standalone
1967,299.59,NJ City,E,16,14,3,28,No education,30,Owner,Standalone
951,165,NJ City,E,2,18,20,63,High School,24,Owner,Standalone
7642,408,Boston,S,2,13,11,32,Graduation,21,Patnership,Complex
7013,496,Boston,N,2,10,22,41,Graduation,35,Patnership,Standalone
754,179,NJ City,S,2,22,15,53,High School,24,Patnership,Complex
8290,373,NJ City,S,2,23,24,52,Graduation,30,Patnership,Complex
4363,233,NJ City,E,3,14,11,62,High School,32,Owner,Standalone
816,154,NJ City,W,1,18,18,81,High School,30,Franchise,Complex
1278,343.28,NJ City,S,24,15,3,46,Graduation,22,Patnership,Complex
4689,27.31,NJ City,N,2,9,1,44,Graduation,26,Patnership,Standalone
2814,225,NJ City,S,1,16,23,71,High School,34,Patnership,Complex
3087,54.81,NJ City,E,2,20,4,35,Graduation,22,Owner,Standalone
5810,481,Boston,S,3,18,19,85,Graduation,31,Patnership,Complex
9164,386,NJ City,W,3,10,6,80,Graduation,23,Franchise,Complex
8245,3.34,NJ City,N,9,12,3,56,High School,23,Patnership,Standalone
5098,43.74,Boston,N,13,24,1,64,High School,35,Patnership,Complex
1494,89.26,NJ City,S,10,23,2,59,Graduation,29,Patnership,Complex
6677,363,Boston,N,2,22,20,62,Graduation,27,Patnership,Standalone
1869,211,NJ City,N,1,18,20,30,High School,21,Patnership,Standalone
513,240,NJ City,N,1,17,7,39,High School,22,Patnership,Standalone
1093,316,NJ City,N,1,18,25,36,High School,26,Patnership,Standalone
6120,479,Boston,W,3,9,7,45,Graduation,30,Franchise,Complex
1474,143,NJ City,S,1,14,24,33,High School,26,Patnership,Complex
2836,142.48,NJ City,W,21,13,1,63,High School,28,Franchise,Complex
4744,177,NJ City,W,1,13,10,67,High School,30,Franchise,Complex
7054,462,Boston,S,3,19,24,25,Graduation,25,Patnership,Complex
6203,368,Boston,E,3,10,13,84,Graduation,29,Owner,Standalone
6977,450,Boston,N,1,19,14,84,Graduation,18,Patnership,Standalone
1423,300,NJ City,E,1,20,25,52,High School,27,Owner,Standalone
9604,351,NJ City,W,2,20,18,26,Graduation,29,Franchise,Complex
8246,11.98,NJ City,N,16,21,1,40,No education,35,Patnership,Complex
9124,160.23,NJ City,W,8,19,1,47,High School,32,Franchise,Complex
3631,127.1,NJ City,E,10,21,3,48,High School,31,Owner,Standalone
4395,117,NJ City,E,2,22,18,40,High School,25,Owner,Standalone
3839,35.99,NJ City,N,22,12,3,85,No education,24,Owner,Standalone
5016,411,Boston,W,1,22,6,70,Graduation,34,Franchise,Complex
7932,170.39,Boston,W,21,8,1,82,Graduation,31,Franchise,Complex
5386,398.73,Boston,S,3,19,1,47,High School,28,Patnership,Complex
4031,147,NJ City,E,3,23,20,67,High School,24,Owner,Standalone
34,53.18,Boston,S,17,8,4,67,High School,24,Patnership,Complex
253,203,NJ City,N,3,12,20,36,High School,19,Patnership,Standalone
3057,474,NJ City,N,1,21,5,76,Graduation,34,Patnership,Standalone
9505,480.59,NJ City,N,23,18,2,37,High School,32,Patnership,Standalone
9181,435,NJ City,N,3,22,15,81,Graduation,23,Patnership,Standalone
9126,424,NJ City,S,1,12,13,59,Graduation,19,Patnership,Complex
7610,472,Boston,S,3,19,6,42,Graduation,34,Patnership,Complex
1704,161,NJ City,W,1,16,18,68,High School,24,Franchise,Complex
5949,429,Boston,N,3,21,14,64,Graduation,35,Patnership,Standalone
8070,354,NJ City,S,3,10,12,72,Graduation,35,Patnership,Complex
8592,422,NJ City,W,3,13,20,77,Graduation,29,Franchise,Complex
3524,1.56,NJ City,N,11,16,2,66,No education,34,Franchise,Complex
6745,461,Boston,N,3,21,8,78,Graduation,31,Patnership,Standalone
3385,23.42,NJ City,N,9,22,1,41,High School,20,Patnership,Standalone
1121,124.39,NJ City,N,16,16,4,58,No education,21,Patnership,Standalone
311,288,NJ City,E,1,13,18,54,High School,21,Owner,Standalone
2005,403,NJ City,N,3,11,5,59,Graduation,30,Patnership,Standalone
1825,258,NJ City,N,2,22,10,36,High School,22,Patnership,Standalone
1322,40,NJ City,N,17,12,4,25,No education,25,Patnership,Complex
6366,465,Boston,S,1,15,24,50,Graduation,25,Patnership,Complex
6449,471,Boston,N,1,20,7,29,Graduation,25,Patnership,Standalone
4797,271,NJ City,N,1,22,16,32,High School,18,Patnership,Standalone
4289,215,NJ City,N,2,22,14,63,High School,20,Patnership,Standalone
9370,412,NJ City,S,3,19,23,29,Graduation,20,Patnership,Complex
7006,497,Boston,S,3,10,24,32,Graduation,22,Patnership,Complex
1843,106.05,NJ City,E,17,23,1,57,High School,34,Owner,Standalone
8311,21.83,NJ City,N,22,8,4,77,High School,20,Owner,Standalone
9633,418,NJ City,N,2,21,23,50,Graduation,22,Patnership,Standalone
8607,422.53,NJ City,E,13,20,3,54,Graduation,28,Owner,Standalone
7894,244.72,Boston,S,23,16,3,57,High School,20,Patnership,Complex
2355,388.74,NJ City,E,1,17,10,47,No education,24,Owner,Standalone
3378,456.79,NJ City,S,9,22,2,32,Graduation,34,Patnership,Complex
5561,354,Boston,N,3,22,23,25,Graduation,26,Patnership,Standalone
