"","transactionID","items"
"1",3,"milk"
"2",2,"milk"
"3",2,"bread"
"4",6,"bread"
"5",5,"milk"
"6",4,"bread"
"7",9,"butter"
"8",3,"eggs"
"9",6,"eggs"
"10",4,"milk"
"11",3,"milk"
"12",9,"milk"
"13",4,"bread"
"14",1,"milk"
"15",10,"eggs"
"16",4,"milk"
"17",4,"butter"
"18",7,"milk"
"19",8,"eggs"
"20",5,"milk"
"21",10,"bread"
"22",1,"eggs"
"23",7,"bread"
"24",9,"milk"
"25",4,"milk"
"26",10,"eggs"
"27",5,"eggs"
"28",10,"milk"
"29",4,"milk"
"30",6,"bread"
"31",9,"bread"
"32",7,"butter"
"33",5,"bread"
"34",6,"butter"
"35",10,"eggs"
"36",9,"eggs"
"37",3,"milk"
"38",9,"milk"
"39",3,"milk"
"40",4,"milk"
"41",6,"bread"
"42",2,"milk"
"43",6,"bread"
"44",10,"butter"
"45",4,"milk"
"46",4,"butter"
"47",1,"bread"
"48",9,"butter"
"49",6,"milk"
"50",9,"butter"
