"","rules","support","confidence","lift","count"
"1","{I4} => {I2}",0.222222222222222,1,1.28571428571429,2
"2","{I5} => {I1}",0.222222222222222,1,1.5,2
"3","{I5} => {I2}",0.222222222222222,1,1.28571428571429,2
"4","{I3} => {I1}",0.444444444444444,0.666666666666667,1,4
"5","{I1} => {I3}",0.444444444444444,0.666666666666667,1,4
"6","{I3} => {I2}",0.444444444444444,0.666666666666667,0.857142857142857,4
"7","{I2} => {I3}",0.444444444444444,0.571428571428571,0.857142857142857,4
"8","{I1} => {I2}",0.444444444444444,0.666666666666667,0.857142857142857,4
"9","{I2} => {I1}",0.444444444444444,0.571428571428571,0.857142857142857,4
"10","{I1,I5} => {I2}",0.222222222222222,1,1.28571428571429,2
"11","{I2,I5} => {I1}",0.222222222222222,1,1.5,2
"12","{I1,I2} => {I5}",0.222222222222222,0.5,2.25,2
"13","{I1,I3} => {I2}",0.222222222222222,0.5,0.642857142857143,2
"14","{I2,I3} => {I1}",0.222222222222222,0.5,0.75,2
"15","{I1,I2} => {I3}",0.222222222222222,0.5,0.75,2
