"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","15","28","24","2","0","62.50","6","bowled","2","v Pakistan","Karachi","15 Nov 1989"
"2","DNB","-","-","-","-","-","-","-","4","v Pakistan","Karachi","15 Nov 1989"
"3","59","254","172","4","0","34.30","6","lbw","1","v Pakistan","Faisalabad","23 Nov 1989"
"4","8","24","16","1","0","50.00","6","run out","3","v Pakistan","Faisalabad","23 Nov 1989"
"5","41","124","90","5","0","45.55","7","bowled","1","v Pakistan","Lahore","1 Dec 1989"
"6","35","74","51","5","0","68.62","6","lbw","1","v Pakistan","Sialkot","9 Dec 1989"
"7","57","193","134","6","0","42.53","6","caught","3","v Pakistan","Sialkot","9 Dec 1989"
"8","0","1","1","0","0","0.00","6","caught","2","v New Zealand","Christchurch","2 Feb 1990"
"9","24","50","44","3","0","54.54","6","caught","3","v New Zealand","Christchurch","2 Feb 1990"
"10","88","324","266","5","0","33.08","6","caught","1","v New Zealand","Napier","9 Feb 1990"
"11","5","15","13","1","0","38.46","6","caught","2","v New Zealand","Auckland","22 Feb 1990"
"12","DNB","-","-","-","-","-","-","-","4","v New Zealand","Auckland","22 Feb 1990"
"13","10","30","19","1","0","52.63","6","bowled","2","v England","Lord's","26 Jul 1990"
"14","27","93","65","4","0","41.53","6","caught","4","v England","Lord's","26 Jul 1990"
"15","68","216","136","8","0","50.00","6","caught","2","v England","Manchester","9 Aug 1990"
"16","119*","225","189","17","0","62.96","6","not out","4","v England","Manchester","9 Aug 1990"
"17","21","39","30","3","0","70.00","7","caught","1","v England","The Oval","23 Aug 1990"
"18","11","92","-","-","0","-","6","lbw","1","v Sri Lanka","Chandigarh","23 Nov 1990"
"19","16","47","42","3","0","38.09","6","bowled","1","v Australia","Brisbane","29 Nov 1991"
"20","7","36","25","1","0","28.00","6","caught","3","v Australia","Brisbane","29 Nov 1991"
"21","15","33","23","0","0","65.21","7","caught","1","v Australia","Melbourne","26 Dec 1991"
"22","40","122","107","5","0","37.38","7","caught","3","v Australia","Melbourne","26 Dec 1991"
"23","148*","298","213","14","0","69.48","6","not out","2","v Australia","Sydney","2 Jan 1992"
