"tid,comnskills,englishspk,acadperf,relocwilling,eyecontact,extraco,gender"
"s1,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"s2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"s3,No,No,No,No,No,No,No,No"
"s4,No,Yes,No,No,No,No,No,No"
"s5,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes"
"s6,Yes,Yes,Yes,Yes,No,No,No,No"
"s7,No,No,No,No,No,No,No,No"
"s8,Yes,Yes,Yes,Yes,No,No,No,Yes"
"s9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"s10,No,Yes,No,No,No,No,No,No"
"s11,No,Yes,No,Yes,No,No,No,No"
"s12,No,No,No,No,No,No,No,No"
"s13,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"s14,Yes,Yes,No,Yes,Yes,No,No,No"
"s15,Yes,Yes,Yes,No,Yes,No,No,Yes"
"s16,Yes,Yes,No,No,Yes,Yes,Yes,Yes"
"s17,Yes,No,No,Yes,Yes,Yes,Yes,No"
"s18,No,No,No,No,Yes,Yes,No,No"
"s19,No,No,No,No,No,No,Yes,No"
"s20,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes"
"s21,Yes,Yes,No,Yes,Yes,Yes,Yes,No"
"s22,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes"
"s23,Yes,Yes,Yes,Yes,No,No,Yes,Yes"
"s24,Yes,Yes,Yes,Yes,Yes,Yes,No,No"
"s25,No,No,No,Yes,No,No,No,No"
"s26,No,Yes,Yes,Yes,No,No,No,No"
"s27,No,No,Yes,No,No,No,No,No"
"s28,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes"
"s29,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes"
"s30,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes"
"s31,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes"
"s32,Yes,No,No,Yes,Yes,Yes,Yes,No"
"s33,No,No,No,No,No,No,Yes,No"
"s34,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"s35,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"s36,No,Yes,No,No,Yes,Yes,Yes,No"
"s37,No,No,No,No,No,No,No,No"
"s38,No,No,No,No,No,No,No,No"
"s39,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes"
"s40,No,No,No,No,No,No,No,No"
"s41,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes"
"s42,Yes,No,No,No,No,No,No,No"
"s43,No,No,No,No,Yes,No,No,No"
"s44,No,Yes,No,No,No,No,Yes,No"
"s45,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes"
"s46,Yes,Yes,Yes,No,Yes,No,Yes,No"
"s47,No,No,No,No,No,No,No,No"
"s48,No,No,Yes,No,No,Yes,No,No"
"s49,No,Yes,Yes,No,Yes,Yes,Yes,No"
"s50,No,No,No,No,No,Yes,No,No"
