java,cpp,dbms,dwm,cbnst,os,grade
Yes,Yes,Yes,Yes,Yes,Yes,Pass
Yes,Yes,Yes,Yes,Yes,Yes,Pass
No,No,No,Yes,No,No,Fail
No,Yes,No,No,No,No,Fail
Yes,Yes,Yes,No,Yes,Yes,Pass
Yes,Yes,Yes,Yes,No,No,Pass
No,No,No,No,No,Yes,Fail
Yes,Yes,Yes,Yes,No,No,Pass
Yes,Yes,Yes,Yes,Yes,Yes,Pass
No,Yes,No,No,No,No,Fail
No,Yes,No,Yes,No,No,Fail
No,No,No,No,No,No,Fail
Yes,Yes,Yes,Yes,Yes,Yes,Pass
Yes,Yes,No,Yes,Yes,No,Fail
Yes,Yes,Yes,Yes,Yes,Yes,Pass
Yes,Yes,Yes,Yes,Yes,Yes,Pass
Yes,Yes,Yes,Yes,Yes,Yes,Pass
No,Yes,No,No,No,No,Fail
No,No,No,No,No,No,Pass
Yes,Yes,Yes,Yes,Yes,Yes,Pass
Yes,Yes,Yes,Yes,Yes,Yes,Pass
Yes,Yes,Yes,Yes,Yes,Yes,Pass
Yes,Yes,Yes,Yes,No,Yes,Pass
Yes,Yes,Yes,Yes,Yes,Yes,Pass
No,No,Yes,No,No,No,Fail
No,Yes,Yes,Yes,No,No,Pass
No,No,Yes,No,No,No,Fail
Yes,Yes,Yes,Yes,Yes,Yes,Pass
Yes,Yes,Yes,Yes,Yes,Yes,Pass
Yes,Yes,Yes,Yes,Yes,Yes,Pass
Yes,Yes,Yes,Yes,Yes,Yes,Pass
Yes,Yes,Yes,Yes,Yes,Yes,Pass
No,Yes,No,No,No,No,Fail
Yes,Yes,Yes,Yes,Yes,Yes,Pass
Yes,Yes,Yes,Yes,Yes,Yes,Pass
No,Yes,No,No,Yes,Yes,Pass
No,No,No,No,Yes,No,Fail
No,No,Yes,No,No,No,Fail
Yes,Yes,Yes,Yes,Yes,Yes,Pass
No,Yes,No,No,No,No,Fail
Yes,Yes,Yes,Yes,Yes,Yes,Pass
Yes,No,No,Yes,No,No,Fail
No,Yes,No,No,No,No,Fail
No,No,No,Yes,Yes,No,Fail
Yes,Yes,Yes,Yes,Yes,Yes,Pass
Yes,Yes,Yes,Yes,Yes,Yes,Pass
No,No,Yes,No,No,No,Fail
No,No,No,Yes,No,No,Fail
Yes,Yes,Yes,Yes,Yes,Yes,Pass
No,No,No,No,No,Yes,Fail
