studentid,comnskills,englishspk,acadperf,relocwilling,eyecontact,extraco,gender,select
s01,1,1,1,1,1,1,1,1
s02,1,1,1,1,1,1,1,1
s03,0,0,0,0,0,0,0,0
s04,0,1,0,0,0,0,0,0
s05,1,1,1,0,1,1,1,1
s06,1,1,1,1,0,0,0,0
s07,0,0,0,0,0,0,0,0
s08,1,1,1,1,0,0,0,1
s09,1,1,1,1,1,1,1,1
s10,0,1,0,0,0,0,0,0
s11,0,1,0,1,0,0,0,0
s12,0,0,0,0,0,0,0,0
s13,1,1,1,1,1,1,1,1
s14,1,1,0,1,1,0,0,0
s15,1,1,1,0,1,0,0,1
s16,1,1,0,0,1,1,1,1
s17,1,0,0,1,1,1,1,0
s18,0,0,0,0,1,1,0,0
s19,0,0,0,0,0,0,1,0
s20,1,0,1,1,1,1,1,1
s21,1,1,0,1,1,1,1,0
s22,1,1,1,0,1,1,1,1
s23,1,1,1,1,0,0,1,1
s24,1,1,1,1,1,1,0,0
s25,0,0,0,1,0,0,0,0
s26,0,1,1,1,0,0,0,0
s27,0,0,1,0,0,0,0,0
s28,1,1,1,1,0,1,1,1
s29,1,1,1,1,1,0,1,1
s30,1,1,1,1,0,1,1,1
s31,1,1,1,0,1,1,1,1
s32,1,0,0,1,1,1,1,0
s33,0,0,0,0,0,0,1,0
s34,1,1,1,1,1,1,1,1
s35,1,1,1,1,1,1,1,1
s36,0,1,0,0,1,1,1,0
s37,0,0,0,0,0,0,0,0
s38,0,0,0,0,0,0,0,0
s39,1,1,0,1,1,1,1,1
s40,0,0,0,0,0,0,0,0
s41,1,0,1,1,1,1,1,1
s42,1,0,0,0,0,0,0,0
s43,0,0,0,0,1,0,0,0
s44,0,1,0,0,0,0,1,0
s45,1,1,0,1,1,1,1,1
s46,1,1,1,0,1,0,1,0
s47,0,0,0,0,0,0,0,0
s48,0,0,1,0,0,1,0,0
s49,0,1,1,0,1,1,1,0
s50,0,0,0,0,0,1,0,0
