studentch,elective1,elective2,elective3,elective4,elective5,elective6
c01,1,1,1,1,1,1
c02,1,1,1,1,1,1
c03,0,0,0,0,0,0
c04,0,1,0,0,0,0
c05,1,1,1,0,1,1
c06,1,1,1,1,0,0
c07,0,0,0,0,0,0
c08,1,1,1,1,0,0
c09,1,1,1,1,1,1
c10,0,1,0,0,0,0
c11,0,1,0,1,0,0
c12,0,0,0,0,0,0
c13,1,1,1,1,1,1
c14,1,1,0,1,1,0
c15,1,1,1,1,1,1
c16,1,1,1,1,1,1
c17,1,1,1,1,1,1
c18,0,0,0,0,0,0
c19,0,0,0,0,0,0
c20,1,1,1,1,1,1
c21,1,1,1,1,1,1
c22,1,1,1,1,1,1
c23,1,1,1,1,1,1
c24,1,1,1,1,1,1
c25,0,0,0,0,0,0
c26,0,1,1,1,0,0
c27,0,0,1,0,0,0
c28,1,1,1,1,1,1
c29,1,1,1,1,1,1
c30,1,1,1,1,1,1
c31,1,1,1,1,1,1
c32,1,1,1,1,1,1
c33,0,0,0,0,0,0
c34,1,1,1,1,1,1
c35,1,1,1,1,1,1
c36,0,1,0,0,1,1
c37,0,0,0,0,0,0
c38,0,0,0,0,0,0
c39,1,1,1,1,1,1
c40,0,0,0,0,0,0
c41,1,1,1,1,1,1
c42,1,0,0,0,0,0
c43,0,0,0,0,0,0
c44,0,0,0,0,0,0
c45,1,1,1,1,1,1
c46,1,1,1,1,1,1
c47,0,0,0,0,0,0
c48,0,0,0,0,0,0
c49,1,1,1,1,1,1
c50,0,0,0,0,0,0
