"","gender","married","play"
"S1","Female","Single","Play"
"S2","Female","Single","NotPlay"
"S3","Female","Married","Play"
"S4","Female","Single","Play"
"S5","Female","Single","NotPlay"
"S6","Female","Single","NotPlay"
"S7","Male","Single","Play"
"S8","Female","Single","NotPlay"
"S9","Female","Single","Play"
"S10","Female","Single","NotPlay"
"S11","Male","Married","Play"
"S12","Male","Married","Play"
"S13","Female","Married","Play"
"S14","Female","Married","NotPlay"
"S15","Male","Single","Play"
"S16","Male","Single","Play"
"S17","Female","Married","Play"
"S18","Female","Single","NotPlay"
"S19","Female","Single","Play"
"S20","Male","Single","Play"
"S21","Female","Married","Play"
"S22","Male","Married","Play"
"S23","Female","Single","Play"
"S24","Male","Single","Play"
"S25","Female","Married","NotPlay"
"S26","Female","Married","NotPlay"
"S27","Male","Single","NotPlay"
"S28","Male","Single","NotPlay"
"S29","Female","Single","NotPlay"
"S30","Female","Single","NotPlay"
