"","items","support","count"
"[1]","{I1,I2,I4}",0.111111111111111,1
"[2]","{I2,I4}",0.222222222222222,2
"[3]","{I1,I4}",0.111111111111111,1
"[4]","{I1,I2,I3,I5}",0.111111111111111,1
"[5]","{I2,I3,I5}",0.111111111111111,1
"[6]","{I1,I3,I5}",0.111111111111111,1
"[7]","{I1,I2,I5}",0.222222222222222,2
"[8]","{I2,I5}",0.222222222222222,2
"[9]","{I1,I5}",0.222222222222222,2
"[10]","{I3,I5}",0.111111111111111,1
"[11]","{I1,I2,I3}",0.222222222222222,2
"[12]","{I2,I3}",0.444444444444444,4
"[13]","{I1,I3}",0.444444444444444,4
"[14]","{I1,I2}",0.444444444444444,4
"[15]","{I2}",0.777777777777778,7
"[16]","{I1}",0.666666666666667,6
"[17]","{I3}",0.666666666666667,6
"[18]","{I5}",0.222222222222222,2
"[19]","{I4}",0.222222222222222,2
