"","lhs","","rhs","support","confidence","lift","count"
"[1]","{}","=>","{I4}",0.222222222222222,0.222222222222222,1,2
"[2]","{}","=>","{I5}",0.222222222222222,0.222222222222222,1,2
"[3]","{}","=>","{I3}",0.666666666666667,0.666666666666667,1,6
"[4]","{}","=>","{I1}",0.666666666666667,0.666666666666667,1,6
"[5]","{}","=>","{I2}",0.777777777777778,0.777777777777778,1,7
"[6]","{I4}","=>","{I1}",0.111111111111111,0.5,0.75,1
"[7]","{I1}","=>","{I4}",0.111111111111111,0.166666666666667,0.75,1
"[8]","{I4}","=>","{I2}",0.222222222222222,1,1.28571428571429,2
"[9]","{I2}","=>","{I4}",0.222222222222222,0.285714285714286,1.28571428571429,2
"[10]","{I5}","=>","{I3}",0.111111111111111,0.5,0.75,1
"[11]","{I3}","=>","{I5}",0.111111111111111,0.166666666666667,0.75,1
"[12]","{I5}","=>","{I1}",0.222222222222222,1,1.5,2
"[13]","{I1}","=>","{I5}",0.222222222222222,0.333333333333333,1.5,2
"[14]","{I5}","=>","{I2}",0.222222222222222,1,1.28571428571429,2
"[15]","{I2}","=>","{I5}",0.222222222222222,0.285714285714286,1.28571428571429,2
"[16]","{I3}","=>","{I1}",0.444444444444444,0.666666666666667,1,4
"[17]","{I1}","=>","{I3}",0.444444444444444,0.666666666666667,1,4
"[18]","{I3}","=>","{I2}",0.444444444444444,0.666666666666667,0.857142857142857,4
"[19]","{I2}","=>","{I3}",0.444444444444444,0.571428571428571,0.857142857142857,4
"[20]","{I1}","=>","{I2}",0.444444444444444,0.666666666666667,0.857142857142857,4
"[21]","{I2}","=>","{I1}",0.444444444444444,0.571428571428571,0.857142857142857,4
"[22]","{I1,I4}","=>","{I2}",0.111111111111111,1,1.28571428571429,1
"[23]","{I2,I4}","=>","{I1}",0.111111111111111,0.5,0.75,1
"[24]","{I1,I2}","=>","{I4}",0.111111111111111,0.25,1.125,1
"[25]","{I3,I5}","=>","{I1}",0.111111111111111,1,1.5,1
"[26]","{I1,I5}","=>","{I3}",0.111111111111111,0.5,0.75,1
"[27]","{I1,I3}","=>","{I5}",0.111111111111111,0.25,1.125,1
"[28]","{I3,I5}","=>","{I2}",0.111111111111111,1,1.28571428571429,1
"[29]","{I2,I5}","=>","{I3}",0.111111111111111,0.5,0.75,1
"[30]","{I2,I3}","=>","{I5}",0.111111111111111,0.25,1.125,1
"[31]","{I1,I5}","=>","{I2}",0.222222222222222,1,1.28571428571429,2
"[32]","{I2,I5}","=>","{I1}",0.222222222222222,1,1.5,2
"[33]","{I1,I2}","=>","{I5}",0.222222222222222,0.5,2.25,2
"[34]","{I1,I3}","=>","{I2}",0.222222222222222,0.5,0.642857142857143,2
"[35]","{I2,I3}","=>","{I1}",0.222222222222222,0.5,0.75,2
"[36]","{I1,I2}","=>","{I3}",0.222222222222222,0.5,0.75,2
"[37]","{I1,I3,I5}","=>","{I2}",0.111111111111111,1,1.28571428571429,1
"[38]","{I2,I3,I5}","=>","{I1}",0.111111111111111,1,1.5,1
"[39]","{I1,I2,I5}","=>","{I3}",0.111111111111111,0.5,0.75,1
"[40]","{I1,I2,I3}","=>","{I5}",0.111111111111111,0.5,2.25,1
